1,0
2,0
7,0
10,0
11,0
14,0
15,0
38,0
42,0
45,0
46,0
47,0
49,0
51,0
61,0
64,0
67,0
70,0
73,0
79,0
80,0
86,0
89,0
96,0
100,0
102,0
107,0
108,0
112,0
114,0
115,0
119,0
121,0
136,0
143,0
149,0
151,0
154,0
158,0
165,0
166,0
168,0
169,0
170,0
177,0
179,0
181,0
186,0
188,0
61,1
0,2
1,2
2,2
4,2
5,2
6,2
7,2
8,2
10,2
12,2
15,2
16,2
28,2
29,2
31,2
33,2
38,2
40,2
41,2
43,2
45,2
46,2
48,2
49,2
51,2
52,2
53,2
54,2
55,2
61,2
62,2
66,2
67,2
70,2
71,2
78,2
79,2
81,2
85,2
89,2
91,2
94,2
95,2
96,2
97,2
98,2
105,2
107,2
108,2
110,2
112,2
113,2
114,2
115,2
122,2
124,2
132,2
133,2
136,2
143,2
149,2
151,2
154,2
158,2
160,2
164,2
166,2
168,2
170,2
173,2
177,2
180,2
183,2
184,2
188,2
54,3
89,3
166,3
0,4
1,4
2,4
4,4
5,4
6,4
7,4
8,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
31,4
32,4
33,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
58,4
61,4
62,4
66,4
67,4
68,4
70,4
71,4
72,4
73,4
74,4
75,4
77,4
78,4
79,4
80,4
81,4
83,4
84,4
85,4
87,4
89,4
90,4
91,4
94,4
95,4
96,4
97,4
98,4
100,4
101,4
102,4
103,4
104,4
105,4
107,4
108,4
109,4
110,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
132,4
133,4
135,4
136,4
138,4
143,4
144,4
145,4
147,4
148,4
149,4
150,4
151,4
154,4
155,4
156,4
157,4
159,4
160,4
161,4
162,4
164,4
165,4
166,4
167,4
168,4
169,4
170,4
172,4
173,4
177,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
2,5
4,5
